Reference Context,Why,How,Relation
"First, it makes it difficult to reconcile company-level emissions with industry, national, and global GHG estimates, which is essential for assessing decarbonization efforts accurately.",Why does decarbonization efforts happen?,"How does reconciling company-level emissions with industry, national, and global GHG estimates impact decarbonization efforts?","Is there a relation between reconciling company-level emissions with industry, national, and global GHG estimates and decarbonization efforts?"
"Second, since many companies have begun announcing ambitious emissions targets and claiming emissions reductions, there is a greater need to track and corroborate such claims in order to hold companies accountable for their polluting activities.",Why do we need to track the emissions targets of companies?,How does tracking emission targets of companies impact their emission reduction claims?,Is there a relation between tracking emission targets of companies and their emission reduction claims?
"Introduction Climate change has induced increases in wildfire frequency and severity, with conditions conducive to large fires expected to become more common as climate predictions indicate drier summers and more heat in years to come.",Why has there been an increase in wildfire frequency?,How does climate change impact wildfire frequency?,Is there a relation between climate change and wildfire frequency?
"Wildfires impact air quality, cause destruction of property and harm to health, and negatively influence atmospheric composition through the release of greenhouse gases, making wildfire behavior models critical.",Why are wildfire behavior models critical?,How do wildfires impact atmospheric composition?,Is there a relation between wildfires and atmospheric composition?
"Caused by the fungal plant pathogen Mycosphaerella ﬁjiensis, the disease leads to premature ripening and a 30 - 50% loss in yields (Queensland Government, 2021).",What does Mycosphaerella ﬁjiensis cause?,How does Mycosphaerella ﬁjiensis impact banana crop yield?,Is there a relation between Mycosphaerella ﬁjiensis and banana crop yield?
"Finally, Y , the number of cohorts of M. ﬁjiensis spores that caused infection, is computed as the product of F with the number of cohorts β (4).",How is the number of cohorts of M. ﬁjiensis spores that caused infection computed?,How does the number of cohorts relate to calculation of M. ﬁjiensis spores that caused infection?,Is there a relation between the number of cohorts and the calculation of M. ﬁjiensis spores that caused infection?
"Crop breeding played a vital role in the Green Revolution that took place in the 20th century, which resulted in a threefold increase in plant-based food production within 50 years, while only raising land usage by 30%.",What role did crop breeding play in the Green Revolution?,How did crop breeding impact the Green Revolution?,Is there a relation between crop breeding and the increase in plant-based food production within 50 years?
"For certain high EV penetration areas, the EV charging demand may lead to transformer overloading at peak hours which makes the maximal EV penetration analysis an urgent problem to solve.",Why does transformer overloading happen?,How does EV charging impact transformer overloading?,Is there a relation between EV charging and transformer overloading?
The EVs as a whole will cause a high power demand and impose signiﬁcant impacts on the grid.,Why does high power demand happen?,How does EV power demand impact the grid?,Is there a relation between EV power demand and the grid?
"In (Fernandez et al., 2011), the authors stated that 60% of electric vehicle penetration would lead to a 40% of power loss increase for off peak hours.",Why does power loss increase for off peak hours happen?,How does electric vehicle penetration impact power loss increase for off peak hours?,Is there a relation between electric vehicle penetration and power loss increase for off peak hours?
Conclusion and Future Work The fast increase of electric vehicle adoption will bring a high power demand on the power system especially for peak power consumption hours.,Why does high power demand on the power system at peak hours happen?,How does electric vehicle adoption impact high power demand on the power system at peak hours?,Is there a relation between electric vehicle adoption and high power demand on the power system?
"Because most of the incoming radiation originates from direct sunlight, a cloud hiding the Sun might cause a signiﬁcant 80% power drop within a minute.",Why does power drop from direct sunlight happen?,How does cloud impact the power drop from sunlight?,Is there a relation between cloud hiding the Sun and power drop?
In low Sun conditions the saturated area in the long exposure image makes the Sun localisation more challenging.,Why does Sun localisation become challenging in low Sun conditions?,How do low Sun conditions impact Sun localisation?,Is there a relation between low Sun conditions and Sun localisation?
An immediate impact of this project is that the connected analysis of the MOSAiC SMP dataset makes the retrieval of essential information about the state of the Arctic cryosphere possible.,Why is the retrieval of essential information about the state of the Arctic cryosphere possible?,How does the MOSAIC SMP dataset relate to the retrieval of essential information about the state of the Arctic cryosphere?,Is there a relation between the MOSAIC SMP dataset relate and the retrieval of essential information about the state of the Arctic cryosphere?
"Forecasting spatiotemporal processes is a difﬁcult task because the data are high-dimensional, often are limited in extent, and temporally correlated.",Why does forecasting spatiotemporal processes happen?,How does the temporal correlation of the data impact forecasting spatiotemporal processes?,Is there a relation between the temporal correlation of the data and forecasting spatiotemporal processes?
Anthropogenic climate change is expected to cause an increase in both the intensity and frequency of MHWs.,What affects the intensity and frequency of MHWs?,How does anthropogenic climate change impact MHWs?,Is there a relation between anthropogenic climate change and MHWs?
Ground fuels have been largely ignored in forest ﬁre research because it is prohibitively costly to measure them across large areas.,Why have ground fuels been largely ignored in forest ﬁre research?,How does the cost to measure ground fuels impact their research in forest fires?,Is there a relation between the cost to measure ground fuels and their research in forest fires?
"Renewable energies introduce new challenges to power grids due to decentralization, reduced inertia and volatility in production.",Why do renewable energies introduce new challenges to power grids?,"How does the decentralization, reduced inertia and volatility in production of renewable energies affect power grids?","Is there a relation between the decentralization, reduced inertia and volatility in production of renewable energies and the power grids?"
"According to the National Oceanic and Atmospheric Administration (NOAA), it is likely that global warming will cause hurricanes in the upcoming century to be more intense by 1 to 10% globally (with higher peak winds and lower central pressures), which will result in a higher proportion of more severe storms (NOAA).",Why will we have a higher proportion of more severe storms?,How does global warming impact the proportion of more severe storms?,Is there a relation between global warming and the higher proportion of more severe storms?
"The force exerted by sudden strong winds can lead to excessive strain on the turbine components, potentially causing damage and compromising their operational efficiency.",What leads to the excessive strain and damage to turbine components?,How do sudden strong winds impact the operational efficiency of turbine components?,Is there a relation between sudden strong winds and the operational efficiency of turbine components?
"Excessive cloud cover makes surface retrievals using multispectral imagery very challenging in certain geographies, negating its otherwise 'exhaustive' coverage.",Why does surface retrievals using multispectral imagery happen?,How does excessive cloud cover impact surface retrievals using multispectral imagery?,Is there a relation between excessive cloud cover and surface retrievals using multispectral imagery?
Making accurate water quality and other hydrological predictions presents several challenges since watersheds are complex systems.,Why is it challenging to accurately predict water quality?,How does the complexity of watershed systems impact the accuracy of predictions?,Is there a relaiton between the complexity of watershed systems and the accuracy of predictions?
"However, predicting climate impacts over individual watersheds is difﬁcult, primarily because accurate hydrological forecasts require models that are calibrated to past data.",Why is predicting climate impacts over individual watersheds difficult?,How does the calibration data of individual watersheds impact the hydrological forecasts?,Is there a relation between the calibration data of individual watersheds and hydrological forecasts?
"Since icing events on turbine rotor blades are a leading cause of operational failures, identifying icing in advance is critical.",Why does operational failures happen?,How does icing events on turbine rotor blades impact operational failures?,Is there a relation between icing events on turbine rotor blades and operational failures?
"in warmer climates, the increased cooling load during summer can cause an increase in energy prices.",Why is there an increase in energy prices in warmer climates during summer?,How does increased cooling load impact energy prices?,Is there a relation between increased cooling load and energy prices?
Subsidence caused by human activities is currently the most important cause of relative sea level rise (RSL) change in many delta regions.,Why does rising sea levels happen?,How does subsidence caused by human activities impact rising sea levels?,Is there a relation between subsidence caused by human activities and rising sea levels?
