Reference Context,Why,How,Relation
"First, it makes it difficult to reconcile company-level emissions with industry, national, and global GHG estimates, which is essential for assessing decarbonization efforts accurately.","Why is it essential to reconcile company-level emissions with industry, national, and global GHG estimates?","How does reconciling company-level emissions with industry, national, and global GHG estimates impact decarbonization efforts?","What is the relation between reconciling company-level emissions with industry, national, and global GHG estimates and decarbonization efforts?"
"Second, since many companies have begun announcing ambitious emissions targets and claiming emissions reductions, there is a greater need to track and corroborate such claims in order to hold companies accountable for their polluting activities.",Why is there a greater need to track and corroborate companies' claims in order to hold them accountable for their polluting activities.,How does companies announcing ambitious emissions targets and claiming emissions reductions impact the need to track and corroborate such claims?,What is the relation between companies' announcing ambitious emissions targets and claiming emissions reductions and the need to track and corroborate such claims?
Climate change has induced increases in wildfire frequency and severity.,Why has there been an increase in wildfire frequency and severity?,How does climate change impact wildfire frequency and severity?,What is the relation between climate change and wildfire frequency and severity?
Conditions conducive to large fires are expected to become more common as climate predictions indicate drier summers and more heat in years to come.,Why are conditions conducive to large fires expected to become more common?,How does drier summers and more heat in years to come impact large fires?,What is the relation between drier summers and more heat in years to come and large fires?
"Wildfires impact air quality, cause destruction of property and harm to health, and negatively influence atmospheric composition through the release of greenhouse gases, making wildfire behavior models critical.",Why are wildfire behavior models critical?,How does the negative impact of wildfires relate to wildfire behaviour models?,What is the relation between the negative impact of wildfires and the criticality of wildfire behaviour models?
"Caused by the fungal plant pathogen Mycosphaerella ﬁjiensis, the disease leads to premature ripening and a 30 - 50% loss in yields (Queensland Government, 2021).",Why does Mycosphaerella ﬁjiensis lead to a 30-50% loss in yields?,How does Mycosphaerella ﬁjiensis impact banana crop ripening and yield?,What is the relation between Mycosphaerella ﬁjiensis and banana crop ripening and yield?
"Finally, Y, the number of cohorts of M. ﬁjiensis spores that caused infection, is computed as the product of F with the number of cohorts β.","How is Y, the number of cohorts of M. ﬁjiensis spores that caused infection calculated?","How does Y, the number of cohorts of M. ﬁjiensis spores that caused infection relate to the number of cohorts β?","What is the relation between Y, the number of cohorts of M. ﬁjiensis spores that caused infection and the number of cohorts β."
"Crop breeding resulted in a threefold increase in plant-based food production within 50 years, while only raising land usage by 30%.","Why did plant-based food production increase threefold within 50 years, while land usage raised by only 30%?",How did crop breeding impact the plant-based food production and land usage within 50 years?,What is the relation between crop breeding and the plant-based food production and land usage within 50 years?
Crop breeding played a vital role in the Green Revolution that took place in the 20th century.,What role did crop breeding play in the Green Revolution?,How did crop breeding impact the Green Revolution?,What is the relation between crop breeding and the Green Revolution of 20th century?
Transformer overloading due to high EV penetration makes the maximal EV penetration analysis an urgent problem to solve.,Why is maximal EV penetration analysis an urgent problem to solve?,How does transormer overloading due to high EV penetration impact the urgency of solving maximal EV penetration analysis?,What is the relation between transormer overloading due to high EV penetration and the urgency of solving maximal EV penetration analysis?
"For certain high EV penetration areas, the EV charging demand may lead to transformer overloading at peak hours.",Why do high EV penetration areas lead to transformer overloading at peak hours?,How does EV charging demand in high EV penetration areas impact transformers at peak hours?,What is the relation between EV charging demand in high EV penetration and transformer overloading?
The EVs as a whole will cause a high power demand and impose signiﬁcant impacts on the grid.,Why do EVs impact the power grid?,How do EV's as a whole impact the power demand on the grid?,What is the relation between high power demand of EV's and the significant demand on the grid?
60% of electric vehicle penetration would lead to a 40% of power loss increase for off peak hours.,Why is electric vehicle penetration beneficial for power loss increase at off peak hours?,How would electric vehicle penetration impact power loss for off peak hours?,What is the relation between electric vehicle penetration and power loss increase for off peak hours?
The fast increase of electric vehicle adoption will bring a high power demand on the power system especially for peak power consumption hours.,Why does electric vehicle adoption cause high power demand during peak power consumption hours?,How does electric vehicle adoption impact the power system during peak power consumption hours?,What is the relation between electric vehicle adoption and high power demand during peak consumption hours?
"Because most of the incoming radiation originates from direct sunlight, a cloud hiding the Sun might cause a signiﬁcant 80% power drop within a minute.",Why might a cloud hiding the Sun cause a signiﬁcant 80% power drop within a minute?,How does a cloud hiding the Sun impact the power drop from sunlight?,What is the relation between a cloud hiding the Sun and the power drop from sunlight?
In low Sun conditions the saturated area in the long exposure image makes the Sun localisation more challenging.,Why do low Sun conditions make Sun localisation more challenging?,How does the saturated area in the long exposure image due to low Sun conditions impact Sun localisation?,What is the relation between the saturated area in the long exposure image due to low Sun conditions and Sun localisation?
The connected analysis of the MOSAiC SMP dataset makes the retrieval of essential information about the state of the Arctic cryosphere possible.,Why is the retrieval of essential information about the state of the Arctic cryosphere affected by the connected analysis of the MOSAiC SMP dataset?,How does the connected analysis of the MOSAIC SMP dataset relate to the retrieval of essential information about the state of the Arctic cryosphere?,What is the relation between the connected analysis of the MOSAIC SMP dataset and the retrieval of essential information about the state of the Arctic cryosphere?
"Forecasting spatiotemporal processes is a difﬁcult task because the data are high-dimensional, often are limited in extent, and temporally correlated.",Why is the forecasting of spatiotemporal processes a difﬁcult task?,"How does the temporal correlation, high-dimensionality and limited extent of the data impact forecasting spatiotemporal processes?","What is the relation between the temporal correlation, high-dimensionality and limited extent of the data and forecasting spatiotemporal processes?"
Anthropogenic climate change is expected to cause an increase in both the intensity and frequency of MHWs.,Why does the increase in both the intensity and frequency of MHWs affected by anthropogenic climate change?,How does anthropogenic climate change impact the intensity and frequency of MHWs?,What is the relation between anthropogenic climate change and the intensity and frequency of MHWs?
Ground fuels have been largely ignored in forest ﬁre research because it is prohibitively costly to measure them across large areas.,Why are ground fuels largely ignored in forest ﬁre research?,How does the cost to measure ground fuels across large areas impact their presence in forest fire research?,What is the relation between the cost to measure ground fuels across large areas and their presence in forest fire research?
"Renewable energies introduce new challenges to power grids due to decentralization, reduced inertia and volatility in production.",Why do renewable energies introduce new challenges to power grids?,"How does the decentralization, reduced inertia and volatility in production of renewable energies affect power grids?","What is the relation between the decentralization, reduced inertia and volatility in production of renewable energies and the power grids?"
It is likely that global warming will cause hurricanes in the upcoming century to be more intense by 1 to 10% globally.,Why will hurricanes in the upcoming century be more intense?,How does global warming impact the intensity of hurricanes in the upcoming century?,What is the relation between global warming and the intensity of hurricanes in the upcoming century?
"The force exerted by sudden strong winds can lead to excessive strain on the turbine components, potentially causing damage and compromising their operational efficiency.","What leads to the excessive strain and damage to turbine components, compromising their operational efficiency?",How do sudden strong winds impact the condition and operational efficiency of turbine components?,What is the relation between sudden strong winds and the condition and operational efficiency of turbine components?
Excessive cloud cover makes surface retrievals using multispectral imagery very challenging in certain geographies.,What causes surface retrievals using multispectral imagery to be very challenging in certain geographies?,How does excessive cloud cover impact surface retrievals using multispectral imagery?,What is the relation between excessive cloud cover and the ease of surface retrievals using multispectral imagery?
Making accurate water quality and other hydrological predictions presents several challenges since watersheds are complex systems.,Why is it challenging to accurately predict water and other hydrological qualities?,How does the complexity of watershed systems impact the accuracy of predicting water and other hydrological qualities?,What is the relation between the complexity of watershed systems and the accuracy of predicting water and other hydrological qualities?
"Predicting climate impacts over individual watersheds is difﬁcult, primarily because accurate hydrological forecasts require models that are calibrated to past data.",Why is predicting climate impacts over individual watersheds difficult?,How does the calibration to past data of individual watersheds impact the climate predictions?,What is the relation betwen the calibration to past data of individual watersheds and climate predictions?
"Since icing events on turbine rotor blades are a leading cause of operational failures, identifying icing in advance is critical.",Why is identifying icing events on turbine rotor blades critical?,How does icing events on turbine rotor blades impact operational failures?,What is the relation between icing events on turbine rotor blades and operational failures?
"In warmer climates, the increased cooling load during summer can cause an increase in energy prices.",Why is there an increase in energy prices in warmer climates during summer?,How does increased cooling load impact energy prices in warmer climates?,What is the relation between increased cooling load and energy prices in warmer climates?
Subsidence caused by human activities is currently the most important cause of relative sea level rise (RSL) change in many delta regions.,What is the most important cause of relative sea level rise (RSL) change in many delta regions?,How does subsidence caused by human activities impact rising sea levels in many delta regions?,What is the relation between the subsidence caused by human activities and rising sea levels in many delta regions?
Mass changes due to the redistribution of water on the Earth's surface and deformation of the lithosphere leads to a change in the Earth's rotation and gravitational ﬁeld.,What leads to a change in the Earth's rotation and gravitational ﬁeld?,How does mass changes due to the redistribution of water on the Earth's surface affect the Earth's rotation and gravitational ﬁeld?,What is the relation between mass changes due to the redistribution of water on the Earth's surface and the change in Earth's rotation and gravitational ﬁeld?
Salinisation of surface water may lead to limitations in drinking water supply and future fresh water shortage in reservoirs.,What leads to limitations in drinking water supply and future fresh water shortage in reservoirs?,How does salinisation of surface water impact drinking water supply and future fresh water in reservoirs?,What is the relation between salinisation of surface water and the limitation in drinking water supply and future fresh water shortage in reservoirs?
Dry soils are more susceptible to burning and can lead to severe wildfires.,Why can dry soils lead to severe wildfires?,How does the susceptibility of burning of dry soils impact the severity of wildfires?,What is the relation between the susceptibility of burning of dry soils and the severity of wildfires?
Warmer temperatures cause greater evaporation which leads to drier soils and vegetation.,Why do warmer temperatures lead to drier soils and vegetation?,How does warmer temperatures impact the dryness of soils and vegetation?,What is the relation between warmer temperatures and the dryness of soils and vegetation?
